                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2066,                 1.4536,                 1.1646,                0.96717,                0.94479,                0.95557,                0.62041,                 1.1765,                0.69278,                 1.1566,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.1891,                0.74401,                 1.1392,                 0.9878,                 0.9375,                0.97161,                 0.6663,                 1.1458,                0.56299,                 1.1532,              0.0065978,              0.0065978,              0.0065978
                      3,                 1.2135,                0.70022,                 1.1649,                0.96469,                  0.925,                0.95615,                0.64503,                 1.1863,                0.61038,                 1.1948,              0.0097992,              0.0097992,              0.0097992
                      4,                 1.2244,                0.69236,                 1.1845,                0.98059,                0.93339,                0.96629,                0.65709,                 1.1708,                0.55649,                 1.1763,               0.009703,               0.009703,               0.009703
                      5,                 1.1911,                0.63856,                 1.1703,                0.98281,                0.93859,                0.96694,                0.67761,                 1.1238,                0.51558,                  1.153,               0.009604,               0.009604,               0.009604
                      6,                  1.166,                0.60928,                 1.1545,                0.97336,                0.94022,                0.96867,                0.67388,                 1.1305,                0.49808,                 1.1514,               0.009505,               0.009505,               0.009505
                      7,                 1.1544,                0.59203,                 1.1474,                0.98167,                0.94728,                0.96888,                0.68164,                 1.1069,                0.47371,                 1.1343,               0.009406,               0.009406,               0.009406
                      8,                 1.1391,                0.57038,                 1.1388,                0.97354,                0.94402,                0.97097,                0.68335,                 1.1343,                0.47245,                 1.1419,               0.009307,               0.009307,               0.009307
                      9,                 1.1314,                0.56046,                 1.1357,                0.98032,                0.94946,                0.97601,                0.68703,                  1.118,                0.45926,                 1.1339,               0.009208,               0.009208,               0.009208
                     10,                 1.1257,                0.54793,                 1.1325,                0.97607,                 0.9533,                0.97591,                0.70194,                 1.0948,                0.44455,                 1.1268,               0.009109,               0.009109,               0.009109
                     11,                 1.1158,                0.53379,                 1.1268,                0.98423,                0.94965,                 0.9775,                0.68775,                 1.1033,                0.43793,                 1.1271,                0.00901,                0.00901,                0.00901
                     12,                 1.1052,                0.52506,                 1.1206,                0.98413,                0.95217,                0.97909,                0.69055,                 1.1173,                0.43315,                 1.1336,               0.008911,               0.008911,               0.008911
                     13,                 1.1036,                0.52418,                 1.1201,                0.98075,                0.95435,                0.97952,                0.69989,                 1.0947,                0.42738,                  1.122,               0.008812,               0.008812,               0.008812
                     14,                 1.0967,                0.51794,                 1.1176,                0.98067,                0.95761,                0.98039,                0.70128,                 1.0867,                0.41872,                 1.1146,               0.008713,               0.008713,               0.008713
