                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.501,                 2.1038,                 1.4891,                0.39003,                0.07396,                0.06164,                0.03638,                 2.3979,                 3.6318,                 2.3572,             0.00066497,             0.00066497,             0.00066497
                      2,                 1.7287,                 2.1706,                 1.6536,                0.36989,                0.24556,                0.20192,                0.11295,                  1.803,                 2.3348,                 1.8373,               0.001325,               0.001325,               0.001325
                      3,                 1.6214,                 2.0175,                  1.599,                0.38067,                0.28008,                0.23231,                0.14021,                 1.6124,                 2.2734,                 1.6066,              0.0019785,              0.0019785,              0.0019785
                      4,                 1.5835,                 1.9491,                 1.5608,                0.37714,                0.28895,                0.23844,                0.14283,                 1.6651,                 2.0274,                 1.6184,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.4888,                 1.8181,                 1.4991,                0.49101,                0.33432,                0.32369,                0.20923,                 1.4797,                 1.8812,                 1.5088,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.4368,                 1.7758,                 1.4499,                0.57274,                0.31657,                0.32994,                  0.207,                  1.522,                 1.8212,                 1.5061,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.3766,                 1.6809,                  1.427,                0.58397,                0.34517,                0.36122,                0.23199,                  1.401,                  1.644,                 1.4297,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.3568,                 1.6205,                 1.4112,                0.52396,                0.37179,                0.37358,                0.24511,                 1.3485,                 1.5798,                 1.4166,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.3249,                 1.5959,                 1.3757,                0.59961,                0.34418,                0.37633,                0.24793,                 1.3195,                 1.5916,                 1.3984,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.3399,                 1.5832,                  1.389,                0.60446,                0.34615,                0.38163,                0.25467,                 1.3111,                 1.5749,                 1.3848,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.3073,                 1.5575,                 1.3615,                0.58371,                0.35602,                0.38665,                0.25824,                 1.2606,                 1.5162,                 1.3491,               0.001901,               0.001901,               0.001901
                     12,                 1.2919,                 1.5111,                 1.3461,                0.57185,                0.36618,                0.37205,                0.24532,                 1.3267,                 1.5578,                 1.3797,              0.0018911,              0.0018911,              0.0018911
                     13,                  1.284,                 1.4966,                 1.3522,                0.60802,                0.36785,                 0.4036,                 0.2753,                 1.2519,                 1.4474,                  1.342,              0.0018812,              0.0018812,              0.0018812
                     14,                 1.2484,                 1.4522,                 1.3206,                 0.5833,                0.37825,                0.40387,                0.28044,                 1.1859,                 1.4599,                 1.2828,              0.0018713,              0.0018713,              0.0018713
                     15,                 1.2269,                 1.4405,                 1.3096,                0.62651,                0.35996,                0.41282,                0.27571,                 1.2702,                 1.4245,                 1.3556,              0.0018614,              0.0018614,              0.0018614
                     16,                 1.2266,                 1.3843,                 1.3129,                0.65332,                0.36982,                0.41983,                0.28977,                 1.2323,                 1.3894,                 1.3316,              0.0018515,              0.0018515,              0.0018515
                     17,                 1.2183,                 1.3999,                 1.3038,                 0.6129,                0.38757,                0.42405,                0.28497,                  1.244,                 1.4189,                 1.3487,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.1791,                 1.3447,                 1.2843,                0.60589,                0.37968,                0.41747,                0.28557,                 1.2255,                 1.4071,                 1.3142,              0.0018317,              0.0018317,              0.0018317
                     19,                  1.161,                  1.366,                  1.269,                0.65646,                 0.3787,                 0.4374,                0.30584,                 1.1532,                 1.3235,                 1.2757,              0.0018218,              0.0018218,              0.0018218
                     20,                   1.16,                 1.3247,                 1.2679,                0.60118,                0.39349,                0.43082,                0.29967,                 1.1416,                 1.3219,                  1.274,              0.0018119,              0.0018119,              0.0018119
                     21,                 1.1682,                 1.3191,                 1.2662,                0.61987,                0.38856,                0.42592,                0.29328,                 1.1984,                 1.3948,                 1.2986,               0.001802,               0.001802,               0.001802
                     22,                 1.1374,                 1.3053,                 1.2449,                0.62403,                0.39941,                0.43312,                0.30095,                 1.1691,                 1.3228,                 1.2916,              0.0017921,              0.0017921,              0.0017921
                     23,                 1.1228,                 1.2774,                 1.2485,                0.66763,                 0.3645,                0.42352,                0.29505,                 1.1716,                 1.4043,                 1.2913,              0.0017822,              0.0017822,              0.0017822
